tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
10007528.0,363763.3593498,2.0,1.0,-0.01,-0.04,-3.41,0.18,-0.49
10012088.0,363763.3613181,3.0,1.0,-0.01,-0.05,-3.35,0.12,-0.12
10016660.0,363763.366877,4.0,1.01,-0.0,-0.04,-3.72,0.12,-0.12
10021216.0,363763.3757851,5.0,1.0,-0.0,-0.05,-3.35,0.37,-0.37
10025768.0,363763.4234228,6.0,1.0,-0.01,-0.04,-3.35,0.3,-0.3
10030324.0,363763.4658537,7.0,1.0,-0.0,-0.04,-3.48,0.0,-0.18
10034824.0,363763.5160526,8.0,1.01,-0.0,-0.04,-3.48,0.12,-0.43
10039392.0,363763.5704262,9.0,1.0,-0.01,-0.04,-3.41,0.43,-0.18
10043996.0,363763.6172916,10.0,1.0,-0.01,-0.05,-3.66,0.24,-0.3
10048616.0,363763.664603,11.0,1.0,-0.01,-0.04,-3.66,0.18,-0.43
10053232.0,363763.6778548,12.0,1.0,-0.01,-0.05,-3.9,0.37,-0.3
10057848.0,363763.7545582,13.0,1.0,-0.01,-0.04,-3.6,0.3,-0.43
10062452.0,363763.7590627,14.0,1.0,-0.01,-0.05,-3.41,0.12,-0.37
10067084.0,363763.8141232,15.0,1.0,-0.0,-0.05,-3.54,0.24,-0.3
10071676.0,363763.9143516,16.0,1.0,-0.0,-0.05,-3.66,0.43,-0.43
10076300.0,363763.9160752,17.0,1.0,-0.0,-0.05,-3.66,0.18,-0.18
10080904.0,363763.9674541,18.0,1.0,-0.0,-0.05,-3.6,0.24,-0.43
10085512.0,363764.0241077,19.0,1.0,-0.0,-0.05,-3.6,0.18,-0.12
10090120.0,363764.0791319,20.0,1.0,-0.0,-0.05,-3.6,0.37,-0.49
10094728.0,363764.138833,21.0,1.0,-0.01,-0.04,-3.78,0.06,-0.37
10099332.0,363764.1954243,22.0,1.0,-0.0,-0.05,-3.54,0.18,-0.24
10103940.0,363764.2406338,23.0,1.0,-0.01,-0.04,-3.54,0.24,-0.06
10108544.0,363764.3015383,24.0,1.0,-0.01,-0.05,-3.78,0.12,-0.49
10113168.0,363764.3330666,25.0,1.0,-0.0,-0.05,-3.17,0.3,-0.43
10117768.0,363764.3802268,26.0,1.01,-0.0,-0.05,-3.54,0.0,-0.49
10122344.0,363764.4231825,27.0,1.0,-0.0,-0.04,-3.54,0.0,-0.43
10126896.0,363764.473662,28.0,1.0,-0.01,-0.04,-3.54,0.3,-0.3
10131504.0,363764.5235672,29.0,1.0,-0.01,-0.05,-3.6,0.24,-0.49
10136112.0,363764.5273343,30.0,1.0,-0.0,-0.05,-3.6,0.18,-0.37
10140724.0,363764.5761871,31.0,1.0,-0.01,-0.05,-3.6,0.18,-0.37
10145336.0,363764.6243775,32.0,1.0,-0.01,-0.04,-3.48,0.24,-0.3
10149948.0,363764.674189,33.0,1.0,-0.0,-0.05,-3.72,0.18,-0.43
10154552.0,363764.7231278,34.0,1.0,-0.01,-0.06,-3.6,0.0,-0.55
10159120.0,363764.7744278,35.0,1.0,-0.01,-0.05,-3.6,0.18,-0.18
10163724.0,363764.8747681,36.0,1.0,-0.01,-0.04,-3.66,0.18,-0.3
10168344.0,363764.8764952,37.0,1.0,-0.01,-0.04,-3.35,-0.12,-0.37
10172956.0,363764.9689327,38.0,1.0,-0.01,-0.05,-3.66,0.0,-0.3
10177532.0,363765.009831,39.0,1.0,-0.01,-0.05,-3.35,0.37,-0.12
10182140.0,363765.0581247,40.0,1.0,-0.01,-0.05,-3.54,0.18,-0.49
10186748.0,363765.0988806,41.0,1.0,-0.01,-0.04,-3.48,-0.06,-0.12
10191368.0,363765.1465717,42.0,1.0,-0.01,-0.04,-3.6,0.24,-0.24
10195980.0,363765.189619,43.0,1.0,-0.01,-0.05,-3.35,0.37,-0.37
10200608.0,363765.2361098,44.0,1.0,-0.0,-0.04,-3.72,0.06,-0.12
10205228.0,363765.2807874,45.0,1.0,-0.01,-0.05,-3.54,0.37,-0.24
10209832.0,363765.3288158,46.0,1.0,-0.01,-0.04,-3.66,0.12,-0.3
10214444.0,363765.3726647,47.0,1.01,-0.01,-0.04,-3.48,0.3,-0.18
10219056.0,363765.4189349,48.0,1.0,-0.01,-0.05,-3.66,0.55,-0.3
10223672.0,363765.4687207,49.0,1.0,-0.01,-0.05,-3.41,0.24,-0.43
