tempo_arduino_us,tempo_relogio_pc,contador,ax,ay,az,gx,gy,gz
10329764.0,366144.8895798,72.0,1.0,-0.0,-0.04,-3.54,0.24,-0.18
10334372.0,366144.8912774,73.0,1.0,-0.01,-0.04,-3.66,0.12,-0.18
10338984.0,366144.9839626,74.0,1.0,-0.01,-0.03,-3.66,0.12,-0.24
10343604.0,366144.9956669,75.0,1.0,-0.01,-0.04,-3.48,0.37,-0.37
10348228.0,366145.0678811,76.0,1.0,-0.0,-0.04,-3.72,0.06,-0.24
10352832.0,366145.1070604,77.0,1.0,-0.01,-0.04,-3.41,0.0,-0.43
10357392.0,366145.1531889,78.0,1.0,-0.01,-0.04,-3.54,0.3,-0.43
10362024.0,366145.1930886,79.0,1.0,-0.01,-0.05,-3.54,0.12,-0.43
10366640.0,366145.2411831,80.0,1.0,-0.01,-0.04,-3.6,0.3,-0.37
10371248.0,366145.2828386,81.0,1.0,-0.0,-0.04,-3.6,0.24,-0.3
10375844.0,366145.3261148,82.0,1.0,-0.0,-0.04,-3.72,0.12,-0.24
10380452.0,366145.3684432,83.0,1.01,-0.01,-0.04,-3.54,0.49,-0.43
10385068.0,366145.4137993,84.0,1.01,-0.01,-0.04,-3.6,0.18,-0.24
10389700.0,366145.4635287,85.0,1.01,-0.0,-0.04,-3.6,0.24,-0.43
10394300.0,366145.5504541,86.0,1.0,-0.01,-0.04,-3.48,0.0,-0.43
10398872.0,366145.5523646,87.0,1.0,-0.01,-0.04,-3.6,0.0,-0.37
10403432.0,366145.6386062,88.0,1.0,-0.0,-0.05,-3.41,0.37,-0.12
10408048.0,366145.6424577,89.0,1.0,-0.01,-0.04,-3.54,0.37,-0.24
10412660.0,366145.6876645,90.0,1.0,-0.01,-0.04,-3.9,0.3,-0.37
10417272.0,366145.7353346,91.0,1.0,-0.0,-0.04,-3.66,0.24,-0.18
10421876.0,366145.7836647,92.0,1.0,-0.01,-0.04,-3.66,0.24,-0.37
10426488.0,366145.7874674,93.0,1.0,-0.01,-0.04,-3.72,0.06,-0.3
10431092.0,366145.8351805,94.0,1.0,-0.01,-0.04,-3.6,0.37,-0.37
10435724.0,366145.8819726,95.0,1.0,-0.0,-0.04,-3.54,0.24,-0.18
10440328.0,366145.9711387,96.0,1.0,-0.01,-0.05,-3.41,0.67,-0.37
10444956.0,366145.9730739,97.0,1.0,-0.01,-0.04,-3.35,0.18,-0.37
10449560.0,366146.0610339,98.0,1.01,-0.01,-0.05,-3.48,0.49,-0.18
10454180.0,366146.1033335,99.0,1.0,-0.01,-0.04,-3.29,0.06,-0.37
10458832.0,366146.1528925,100.0,1.0,-0.0,-0.04,-3.96,0.06,-0.24
10463484.0,366146.201838,101.0,1.0,-0.0,-0.04,-3.54,0.37,-0.3
10468140.0,366146.2449848,102.0,1.0,-0.0,-0.04,-3.48,0.49,-0.24
10472804.0,366146.2981072,103.0,1.0,-0.0,-0.04,-3.66,0.18,-0.12
10477456.0,366146.3416633,104.0,1.0,-0.0,-0.05,-3.48,0.3,-0.37
10482120.0,366146.392255,105.0,1.0,-0.01,-0.04,-3.48,0.12,-0.37
10486792.0,366146.4427097,106.0,1.0,-0.0,-0.04,-3.48,0.06,-0.24
10491436.0,366146.4446896,107.0,1.0,-0.0,-0.04,-3.54,0.24,-0.12
10496096.0,366146.4916116,108.0,1.0,-0.0,-0.04,-3.6,0.43,-0.67
10500748.0,366146.5418134,109.0,1.0,-0.01,-0.04,-3.78,0.12,-0.24
10505408.0,366146.5904679,110.0,1.0,-0.0,-0.04,-3.48,0.0,-0.55
10510008.0,366146.6361547,111.0,1.0,-0.0,-0.04,-3.54,0.37,-0.3
10514664.0,366146.6861921,112.0,1.0,-0.0,-0.04,-3.54,0.55,-0.24
10519320.0,366146.7328273,113.0,1.0,-0.01,-0.04,-3.48,0.24,-0.24
10523984.0,366146.7822037,114.0,1.0,-0.01,-0.04,-3.54,0.3,-0.24
10528640.0,366146.831173,115.0,1.0,-0.0,-0.04,-3.6,0.3,-0.43
10533296.0,366146.8800263,116.0,1.0,-0.01,-0.04,-3.35,0.12,-0.3
10537972.0,366146.9478591,117.0,1.0,-0.0,-0.04,-3.66,0.18,-0.24
10542632.0,366146.9775422,118.0,1.0,-0.0,-0.04,-3.84,-0.06,-0.43
10547292.0,366147.0288869,119.0,1.0,-0.01,-0.04,-3.78,0.49,-0.43
10551956.0,366147.0759186,120.0,1.0,-0.0,-0.04,-3.66,0.49,-0.37
10556628.0,366147.1738097,121.0,1.0,-0.01,-0.04,-3.29,0.06,-0.12
10561284.0,366147.2200292,122.0,1.0,-0.0,-0.04,-3.78,-0.12,-0.24
10565948.0,366147.272824,123.0,1.0,-0.0,-0.04,-3.66,0.24,-0.18
10570612.0,366147.3210764,124.0,1.0,-0.01,-0.04,-3.54,-0.06,-0.3
10575272.0,366147.3735921,125.0,1.0,-0.0,-0.04,-3.72,0.43,0.06
